,Acc_Index,Vehicle_Reference,Casualty_Reference,Casualty_Class,Sex_of_Casualty,Age_Band_of_Casualty,Casualty_Severity,Pedestrian_Location,Pedestrian_Movement,Car_Passenger,Bus_or_Coach_Passenger,Pedestrian_Road_Maintenance_Worker,Casualty_Type,Casualty_Home_Area_Type
6731,201001ID60004,1,1,1,1,-1,3,0,0,0,0,-1,3,1
6763,201001ID60038,3,1,2,1,10,3,0,0,1,0,-1,9,1
8374,201001JI40806,1,1,1,1,-1,3,0,0,0,0,-1,9,-1
8493,201001KD50084,2,1,1,2,8,3,0,0,0,0,-1,9,1
8494,201001KD50084,2,2,2,2,11,3,0,0,1,0,-1,9,1
8513,201001KD50105,2,1,1,1,9,3,0,0,0,0,-1,9,-1
8521,201001KD50112,1,1,1,1,7,3,0,0,0,0,-1,9,1
8655,201001KD50223,1,1,1,2,-1,3,0,0,0,0,-1,9,-1
8666,201001KD50236,1,1,1,1,-1,3,0,0,0,0,-1,9,-1
8667,201001KD50236,1,2,2,2,11,3,0,0,1,0,-1,9,-1
8668,201001KD50237,1,1,1,1,5,3,0,0,0,0,-1,5,-1
8682,201001KD50251,2,1,1,1,7,3,0,0,0,0,-1,9,1
8713,201001KD50280,1,1,1,2,6,3,0,0,0,0,-1,9,1
8725,201001KD50294,1,1,1,1,9,2,0,0,0,0,-1,9,2
8726,201001KD50294,2,2,1,2,8,3,0,0,0,0,-1,9,3
8727,201001KD50294,2,3,2,2,4,3,0,0,1,0,-1,9,3
8810,201001KD50363,2,1,1,2,4,3,0,0,0,0,-1,9,-1
8836,201001KD50391,1,1,1,2,5,3,0,0,0,0,-1,9,1
8861,201001KD50409,1,1,1,2,8,3,0,0,0,0,-1,9,-1
8873,201001KD50424,3,1,1,1,8,3,0,0,0,0,-1,9,1
8874,201001KD50424,3,2,2,2,2,3,0,0,2,0,-1,9,-1
8896,201001KD50439,1,1,1,1,11,3,0,0,0,0,-1,9,-1
8897,201001KD50439,2,2,1,1,7,3,0,0,0,0,-1,19,2
8898,201001KD50439,2,3,2,1,6,3,0,0,0,0,-1,19,1
8900,201001KD50441,2,1,1,2,6,3,0,0,0,0,-1,9,1
8906,201001KD50446,1,1,1,1,8,3,0,0,0,0,-1,9,1
8907,201001KD50447,1,1,1,1,7,3,0,0,0,0,-1,5,1
8915,201001KD50453,1,1,1,2,9,3,0,0,0,0,-1,9,1
8927,201001KD50465,1,1,1,1,5,3,0,0,0,0,-1,9,1
8929,201001KD50467,1,1,1,1,5,2,0,0,0,0,-1,9,1
9013,201001KD50539,1,1,1,2,4,3,0,0,0,0,-1,9,1
9019,201001KD50544,1,1,1,1,7,3,0,0,0,0,-1,9,1
9053,201001KD50579,1,1,1,1,8,3,0,0,0,0,-1,5,1
9083,201001KD50602,1,1,1,2,6,3,0,0,0,0,-1,9,-1
9103,201001KD50615,2,1,1,1,10,3,0,0,0,0,-1,9,1
9123,201001KD50635,1,1,1,2,6,3,0,0,0,0,-1,9,1
9132,201001KD50642,1,1,1,1,8,3,0,0,0,0,-1,9,2
9133,201001KD50642,1,2,2,1,6,3,0,0,1,0,-1,9,-1
9146,201001KD50652,2,1,1,2,4,3,0,0,0,0,-1,9,1
9147,201001KD50652,2,2,2,1,5,3,0,0,1,0,-1,9,-1
9162,201001KD50666,1,1,2,2,9,3,0,0,1,0,-1,9,1
9163,201001KD50667,1,1,1,2,7,3,0,0,0,0,-1,9,1
9164,201001KD50667,1,2,2,1,3,3,0,0,2,0,-1,9,1
9169,201001KD50671,1,1,1,1,8,3,0,0,0,0,-1,9,1
