,Accident_Index,Vehicle_Reference,Casualty_Reference,Casualty_Class,Sex_of_Casualty,Age_of_Casualty,Age_Band_of_Casualty,Casualty_Severity,Pedestrian_Location,Pedestrian_Movement,Car_Passenger,Bus_or_Coach_Passenger,Pedestrian_Road_Maintenance_Worker,Casualty_Type,Casualty_Home_Area_Type
7966,201401ID60003,2,1,1,2,23,5,3,0,0,0,0,0,9,-1
7982,201401ID60029,1,1,1,1,78,11,3,0,0,0,0,0,9,1
7983,201401ID60029,2,2,1,1,33,6,3,0,0,0,0,0,9,-1
7985,201401ID60031,2,1,2,2,47,8,3,0,0,1,0,0,9,-1
7986,201401ID60031,3,2,1,1,35,6,3,0,0,0,0,0,9,1
9218,201401JI40222,1,1,1,2,43,7,3,0,0,0,0,0,9,1
9636,201401JI40600,1,1,2,1,43,7,3,0,0,1,0,0,9,-1
9637,201401JI40600,2,2,1,2,58,9,3,0,0,0,0,0,9,1
9883,201401JI40825,1,1,1,1,28,6,3,0,0,0,0,0,9,-1
10180,201401KD50212,1,1,2,2,76,11,3,0,0,1,0,0,9,-1
10185,201401KD50216,1,1,1,1,19,4,3,0,0,0,0,0,9,1
10193,201401KD50223,1,1,1,2,56,9,3,0,0,0,0,0,9,1
10296,201401KD50305,1,1,1,1,31,6,3,0,0,0,0,0,9,1
10402,201401KD50399,2,1,1,1,55,8,3,0,0,0,0,0,9,-1
10403,201401KD50399,3,2,1,1,27,6,3,0,0,0,0,0,9,-1
10512,201401KD50499,1,1,1,1,65,9,3,0,0,0,0,0,9,1
10549,201401KD50534,2,1,1,1,48,8,3,0,0,0,0,0,9,1
10587,201401KD50560,1,1,1,2,28,6,3,0,0,0,0,0,9,1
10627,201401KD50595,1,1,1,1,43,7,3,0,0,0,0,0,9,1
10628,201401KD50595,1,2,2,2,39,7,3,0,0,1,0,0,9,1
10667,201401KD50630,1,1,1,2,49,8,3,0,0,0,0,0,9,1
10668,201401KD50630,1,2,2,2,27,6,3,0,0,1,0,0,9,1
19756,201401SX20049,1,1,1,1,58,9,3,0,0,0,0,0,5,1
19912,201401SX20203,1,1,1,1,41,7,3,0,0,0,0,0,9,1
20032,201401SX20312,1,1,1,1,43,7,3,0,0,0,0,0,9,1
20033,201401SX20312,2,2,1,1,44,7,3,0,0,0,0,0,20,1
20034,201401SX20312,2,3,2,1,31,6,3,0,0,0,0,0,20,1
20036,201401SX20314,1,1,1,1,32,6,3,0,0,0,0,0,4,1
20139,201401SX20410,1,1,1,1,24,5,2,0,0,0,0,0,19,1
20154,201401SX20428,1,1,2,2,44,7,3,0,0,2,0,0,8,1
20197,201401SX20466,1,1,1,1,22,5,3,0,0,0,0,0,9,1
20323,201401SX20579,3,1,1,2,32,6,3,0,0,0,0,0,9,3
20418,201401SX20663,2,1,1,2,52,8,3,0,0,0,0,0,9,1
20419,201401SX20663,4,2,1,1,23,5,3,0,0,0,0,0,9,1
20420,201401SX20663,4,3,2,1,29,6,3,0,0,1,0,0,9,1
20421,201401SX20663,4,4,2,1,21,5,3,0,0,2,0,0,9,1
20459,201401SX20702,1,1,1,1,23,5,3,0,0,0,0,0,9,-1
20510,201401SX20756,1,1,1,1,-1,-1,3,0,0,0,0,0,9,-1
20530,201401SX20775,6,1,1,1,60,9,3,0,0,0,0,0,19,1
20531,201401SX20775,8,2,1,1,63,9,3,0,0,0,0,0,9,3
20532,201401SX20775,9,3,1,1,18,4,3,0,0,0,0,0,9,-1
20535,201401SX20777,1,1,2,1,21,5,3,0,0,2,0,0,9,-1
20553,201401SX20795,1,1,1,2,49,8,3,0,0,0,0,0,9,2
20626,201401SX20870,1,1,2,2,6,2,3,0,0,2,0,0,9,1
