,Acc_Index,Vehicle_Reference,Casualty_Reference,Casualty_Class,Sex_of_Casualty,Age_Band_of_Casualty,Casualty_Severity,Pedestrian_Location,Pedestrian_Movement,Car_Passenger,Bus_or_Coach_Passenger,Pedestrian_Road_Maintenance_Worker,Casualty_Type,Casualty_Home_Area_Type
7185,201101JI40091,2,1,1,1,6,2,0,0,0,0,0,9,1
7285,201101JI40196,2,1,1,1,9,3,0,0,0,0,0,9,1
7288,201101JI40200,2,1,1,1,7,3,0,0,0,0,0,9,-1
7289,201101JI40200,2,2,2,2,1,3,0,0,2,0,0,9,-1
7290,201101JI40200,2,3,2,2,5,3,0,0,1,0,0,9,1
7914,201101JI40775,1,1,1,1,4,3,0,0,0,0,0,9,-1
7962,201101KD50007,1,1,1,1,8,3,0,0,0,0,0,9,-1
7982,201101KD50024,1,1,1,1,8,3,0,0,0,0,0,10,-1
7983,201101KD50025,2,1,1,1,7,3,0,0,0,0,0,9,1
7984,201101KD50025,2,2,2,1,4,3,0,0,1,0,0,9,2
7995,201101KD50034,1,1,1,2,6,3,0,0,0,0,0,9,1
8056,201101KD50087,1,1,1,1,8,3,0,0,0,0,0,9,1
8114,201101KD50124,2,1,2,2,4,3,0,0,2,0,0,9,1
8126,201101KD50138,2,1,1,1,8,3,0,0,0,0,0,19,1
8143,201101KD50151,2,1,1,1,9,3,0,0,0,0,0,9,1
8152,201101KD50162,1,1,1,1,7,3,0,0,0,0,0,9,1
8181,201101KD50182,1,1,2,2,8,3,0,0,1,0,0,9,-1
8186,201101KD50187,1,1,1,1,9,3,0,0,0,0,0,9,1
8196,201101KD50197,2,1,2,2,4,3,0,0,1,0,0,9,1
8221,201101KD50215,1,1,1,2,5,3,0,0,0,0,0,9,1
8237,201101KD50233,1,1,2,2,9,3,0,0,1,0,0,9,2
8238,201101KD50233,2,2,1,2,6,3,0,0,0,0,0,9,1
8242,201101KD50237,1,1,1,1,7,3,0,0,0,0,0,9,-1
