,Accident_Index,Vehicle_Reference,Casualty_Reference,Casualty_Class,Sex_of_Casualty,Age_of_Casualty,Age_Band_of_Casualty,Casualty_Severity,Pedestrian_Location,Pedestrian_Movement,Car_Passenger,Bus_or_Coach_Passenger,Pedestrian_Road_Maintenance_Worker,Casualty_Type,Casualty_Home_Area_Type
115653,20154100D0433,1,2,2,2,24,5,3,0,0,1,0,0,9,1
115654,20154100D0433,2,3,1,2,25,5,3,0,0,0,0,0,9,-1
115666,20154100D0459,2,1,1,1,58,9,3,0,0,0,0,0,9,1
115669,20154100D0467,1,1,1,1,68,10,3,0,0,0,0,0,19,1
115702,20154100D0535,2,1,1,2,34,6,3,0,0,0,0,0,9,1
115703,20154100D0535,2,2,2,1,22,5,3,0,0,1,0,0,9,1
115716,20154100D0559,1,1,1,1,21,5,3,0,0,0,0,0,9,1
115717,20154100D0561,2,1,1,1,52,8,3,0,0,0,0,0,9,1
115726,20154100D0583,1,1,1,1,37,7,3,0,0,0,0,0,9,1
115762,20154100D0658,2,1,1,2,62,9,3,0,0,0,0,0,9,1
115769,20154100D0674,2,1,1,1,26,6,3,0,0,0,0,0,9,1
115770,20154100D0674,2,2,2,2,73,10,3,0,0,2,0,0,9,2
115771,20154100D0674,2,3,2,1,77,11,3,0,0,2,0,0,9,2
115853,20154100E0165,3,1,1,1,31,6,3,0,0,0,0,0,19,1
115854,20154100E0165,4,2,1,2,63,9,3,0,0,0,0,0,9,3
115859,20154100E0181,1,1,1,1,46,8,3,0,0,0,0,0,20,1
115881,20154100E0293,2,1,1,1,26,6,3,0,0,0,0,0,9,1
115957,20154100E0475,2,1,1,2,30,6,3,0,0,0,0,0,9,1
115958,20154100E0475,4,2,1,2,39,7,3,0,0,0,0,0,9,2
115981,20154100E0535,1,1,1,1,19,4,3,0,0,0,0,0,9,1
116013,20154100E0625,2,1,1,1,23,5,2,0,0,0,0,0,5,1
116042,20154100F0008,2,1,1,2,49,8,3,0,0,0,0,0,9,1
116131,20154100F0247,1,1,2,2,21,5,2,0,0,1,0,0,9,1
116152,20154100F0287,2,1,1,2,50,8,3,0,0,0,0,0,9,-1
116191,20154100F0353,1,1,1,1,26,6,3,0,0,0,0,0,19,1
116192,20154100F0353,2,2,1,1,49,8,3,0,0,0,0,0,19,1
116193,20154100F0353,2,5,2,1,26,6,3,0,0,1,0,0,19,1
116194,20154100F0353,3,3,1,2,39,7,3,0,0,0,0,0,9,1
116195,20154100F0353,3,4,2,2,36,7,3,0,0,1,0,0,9,1
116196,20154100F0354,2,1,1,1,23,5,3,0,0,0,0,0,9,1
116197,20154100F0354,2,2,2,1,53,8,3,0,0,1,0,0,9,1
116235,20154100F0445,2,1,1,1,34,6,3,0,0,0,0,0,9,1
116236,20154100F0445,2,2,2,2,14,3,3,0,0,1,0,0,9,2
116257,20154100F0510,1,1,2,1,55,8,3,0,0,2,0,0,9,-1
116260,20154100F0514,1,1,1,1,68,10,3,0,0,0,0,0,9,1
116261,20154100F0514,1,2,2,2,69,10,3,0,0,1,0,0,9,1
116266,20154100F0522,2,1,1,2,18,4,3,0,0,0,0,0,9,1
116278,20154100F0543,1,1,1,1,20,4,3,0,0,0,0,0,9,1
116285,20154100F0551,2,1,2,1,42,7,3,0,0,1,0,0,9,-1
116296,20154100F0576,2,1,1,1,23,5,3,0,0,0,0,0,9,1
116302,20154100F0587,2,1,1,1,52,8,3,0,0,0,0,0,9,1
116303,20154100F0587,2,2,2,2,46,8,3,0,0,1,0,0,9,1
116304,20154100F0587,3,3,1,1,23,5,3,0,0,0,0,0,9,1
116310,20154100F0621,1,1,1,1,47,8,3,0,0,0,0,0,5,1
116359,20154100F0777,1,1,1,1,45,7,3,0,0,0,0,0,9,1
116367,20154100F0804,1,1,1,1,30,6,3,0,0,0,0,0,9,1
116375,20154100F0829,2,1,1,2,61,9,3,0,0,0,0,0,9,1
116384,20154100F0843,1,1,1,2,24,5,3,0,0,0,0,0,9,1
