,Acc_Index,Vehicle_Reference,Casualty_Reference,Casualty_Class,Sex_of_Casualty,Age_Band_of_Casualty,Casualty_Severity,Pedestrian_Location,Pedestrian_Movement,Car_Passenger,Bus_or_Coach_Passenger,Pedestrian_Road_Maintenance_Worker,Casualty_Type,Casualty_Home_Area_Type
6536,200901ID60003,1,2,2,1,7,3,0,0,2,0,-1,9,1
6537,200901ID60003,2,1,2,1,7,3,0,0,1,0,-1,9,3
6571,200901ID60041,1,1,1,1,8,3,0,0,0,0,-1,9,1
7455,200901JI40181,1,1,1,2,5,3,0,0,0,0,-1,9,1
7456,200901JI40181,2,2,1,1,9,3,0,0,0,0,-1,20,2
7707,200901JI40456,1,1,1,2,6,3,0,0,0,0,-1,9,1
7708,200901JI40457,1,1,1,1,4,3,0,0,0,0,-1,9,1
7781,200901JI40528,2,1,1,1,8,3,0,0,0,0,-1,4,3
7885,200901JI40644,1,1,1,2,6,3,0,0,0,0,-1,9,1
7936,200901JI40700,1,1,1,2,6,3,0,0,0,0,-1,9,1
8021,200901KD50024,2,1,1,1,9,3,0,0,0,0,-1,9,1
8022,200901KD50024,2,2,2,2,9,3,0,0,1,0,-1,9,1
8025,200901KD50026,1,1,2,2,4,3,0,0,1,0,-1,9,-1
8037,200901KD50034,1,1,2,1,7,3,0,0,1,0,-1,9,1
8038,200901KD50035,1,1,1,1,6,3,0,0,0,0,-1,19,1
8039,200901KD50035,2,2,1,1,9,3,0,0,0,0,-1,21,2
8069,200901KD50064,1,1,1,1,6,3,0,0,0,0,-1,20,1
8070,200901KD50064,3,2,1,2,8,3,0,0,0,0,-1,9,-1
8071,200901KD50064,3,3,2,1,2,3,0,0,2,0,-1,9,1
8072,200901KD50064,3,4,2,1,6,3,0,0,1,0,-1,9,1
8073,200901KD50064,3,5,2,1,1,3,0,0,2,0,-1,9,1
8086,200901KD50075,1,1,1,1,9,3,0,0,0,0,-1,9,1
8106,200901KD50096,1,1,1,2,4,3,0,0,0,0,-1,9,1
8119,200901KD50111,1,1,1,2,8,3,0,0,0,0,-1,9,1
8122,200901KD50113,2,1,1,1,5,3,0,0,0,0,-1,9,1
8131,200901KD50124,2,1,1,2,7,3,0,0,0,0,-1,9,1
8132,200901KD50124,2,2,2,2,10,3,0,0,1,0,-1,9,1
8133,200901KD50124,2,3,2,2,3,3,0,0,2,0,-1,9,1
8159,200901KD50143,1,1,1,2,9,2,0,0,0,0,-1,9,1
8167,200901KD50152,1,1,1,1,8,3,0,0,0,0,-1,9,1
8179,200901KD50161,2,1,1,1,8,3,0,0,0,0,-1,5,1
8250,200901KD50231,1,1,1,2,4,3,0,0,0,0,-1,9,1
8253,200901KD50234,2,1,2,1,6,3,0,0,1,0,-1,9,-1
8254,200901KD50234,2,2,2,1,7,3,0,0,2,0,-1,9,1
8255,200901KD50234,2,3,2,1,6,3,0,0,2,0,-1,9,1
8297,200901KD50272,1,1,1,2,4,2,0,0,0,0,-1,9,1
8317,200901KD50295,1,1,1,2,4,3,0,0,0,0,-1,9,3
8346,200901KD50318,1,1,1,1,8,3,0,0,0,0,-1,9,1
