,Acc_Index,Vehicle_Reference,Casualty_Reference,Casualty_Class,Sex_of_Casualty,Age_Band_of_Casualty,Casualty_Severity,Pedestrian_Location,Pedestrian_Movement,Car_Passenger,Bus_or_Coach_Passenger,Pedestrian_Road_Maintenance_Worker,Casualty_Type,Casualty_Home_Area_Type
6856,201201ID60045,1,1,1,1,8,3,0,0,0,0,0,9,-1
6864,201201ID69001,1,1,1,1,6,3,0,0,0,0,0,9,1
7947,201201JI40365,1,1,1,2,7,3,0,0,0,0,0,9,3
7948,201201JI40365,2,2,1,1,8,3,0,0,0,0,0,19,1
8347,201201KD50006,1,1,1,2,6,3,0,0,0,0,0,9,1
8348,201201KD50006,2,2,1,1,6,3,0,0,0,0,0,19,1
8349,201201KD50006,2,3,2,1,5,3,0,0,0,0,0,19,3
8404,201201KD50055,1,1,2,1,11,3,0,0,1,0,0,9,1
8418,201201KD50071,2,1,1,1,7,3,0,0,0,0,0,90,1
8437,201201KD50088,1,1,1,2,6,3,0,0,0,0,0,9,1
8445,201201KD50097,1,1,1,1,6,3,0,0,0,0,0,9,1
8446,201201KD50098,1,1,1,1,6,3,0,0,0,0,0,9,1
8447,201201KD50098,2,2,1,1,6,3,0,0,0,0,0,9,1
8476,201201KD50123,2,1,1,1,9,3,0,0,0,0,0,9,-1
8505,201201KD50149,2,1,1,1,8,3,0,0,0,0,0,9,1
8542,201201KD50172,4,1,1,1,5,3,0,0,0,0,0,19,-1
8545,201201KD50176,1,1,1,1,5,3,0,0,0,0,0,9,2
8556,201201KD50183,1,1,1,1,8,3,0,0,0,0,0,9,1
8579,201201KD50205,1,1,1,1,6,3,0,0,0,0,0,9,1
8634,201201KD50244,2,1,1,1,-1,3,0,0,0,0,0,9,1
8635,201201KD50244,2,2,2,1,9,3,0,0,1,0,0,9,3
8689,201201KD50293,1,1,2,1,6,3,0,0,0,0,0,19,1
8701,201201KD50307,1,1,1,1,8,3,0,0,0,0,0,19,1
8702,201201KD50307,2,2,1,1,6,3,0,0,0,0,0,9,1
8734,201201KD50333,1,1,1,2,6,3,0,0,0,0,0,9,1
8735,201201KD50333,1,2,2,2,3,3,0,0,1,0,0,9,1
8751,201201KD50347,4,2,2,1,5,3,0,0,1,0,0,9,1
8752,201201KD50347,5,1,1,1,-1,3,0,0,0,0,0,9,-1
8772,201201KD50368,1,1,1,1,9,3,0,0,0,0,0,9,1
8773,201201KD50368,1,2,2,2,9,2,0,0,1,0,0,9,1
8776,201201KD50371,1,1,1,1,7,3,0,0,0,0,0,5,1
8795,201201KD50393,1,1,1,2,4,3,0,0,0,0,0,9,2
8813,201201KD50411,1,1,1,2,7,3,0,0,0,0,0,9,1
8856,201201KD50448,1,1,1,2,5,3,0,0,0,0,0,9,-1
8892,201201KD50473,2,1,1,2,11,3,0,0,0,0,0,9,2
8893,201201KD50473,2,2,2,1,11,3,0,0,1,0,0,9,2
8904,201201KD50481,1,1,1,2,7,3,0,0,0,0,0,9,1
8905,201201KD50481,2,2,1,1,8,3,0,0,0,0,0,9,1
8958,201201KD50531,2,1,1,2,8,3,0,0,0,0,0,9,1
8963,201201KD50536,1,1,2,1,6,3,0,0,1,0,0,9,1
8971,201201KD50544,1,1,1,2,7,3,0,0,0,0,0,9,1
8990,201201KD50560,1,1,1,2,6,3,0,0,0,0,0,9,1
9020,201201KD50595,1,1,1,1,9,3,0,0,0,0,0,9,3
9030,201201KD50608,1,1,1,1,7,3,0,0,0,0,0,19,3
